,Unnamed: 0,Neighborhood,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description
0,3,Rolando,3.0,78.0,78.0,0.0,,32.760451-117.064381,0.0,32.760451,-117.06438100000001,In process,1.0,0.0,2017-05-23T14:43:00,Pothole,Pothole,Acknowledged
1,4,Rolando,4.0,81.0,81.0,0.0,,32.758759-117.063192,0.0,32.758759000000005,-117.06319199999999,New,1.0,0.0,2017-05-23T14:40:00,Pothole,Pothole,New
2,5,El Cerrito,5.0,88.0,88.0,0.0,,32.748611-117.079278,0.0,32.748611,-117.079278,In process,1.0,0.0,2017-05-23T14:17:00,Pothole,Pothole,Acknowledged
3,19,Talmadge,19.0,290.0,290.0,0.0,,32.755209-117.10081,0.0,32.755209,-117.10081000000001,In process,1.0,1.0,2017-05-23T07:46:00,Pothole,Pothole,Acknowledged
4,26,Fairmont Village,26.0,436.0,436.0,0.0,,32.74953741232278-117.098696546027,0.0,32.7495374123,-117.098696546,In process,1.0,0.0,2017-05-22T18:53:00,Pothole,Other,Acknowledged
5,32,College East,32.0,654.0,654.0,0.0,,32.76853097927413-117.05369259296955,0.0,32.768530979299996,-117.053692593,In process,1.0,0.0,2017-05-22T12:49:00,Pothole,Pothole,Acknowledged
6,34,Kensington,34.0,671.0,671.0,0.0,,32.76111300715734-117.10240192825849,0.0,32.761113007199995,-117.10240192799999,In process,1.0,1.0,2017-05-22T12:13:00,Pothole,Pothole,Acknowledged
7,38,Fairmont Village,38.0,792.0,792.0,0.0,,32.7488978812776-117.09233008336,0.0,32.7488978813,-117.092330083,In process,1.0,0.0,2017-05-22T09:10:00,Pothole,Pothole,Acknowledged
8,43,Redwood Village-Rolando Park,43.0,894.0,894.0,0.0,,32.74263680915603-117.0763224085021,0.0,32.7426368092,-117.076322409,In process,1.0,0.0,2017-05-22T07:10:00,Pothole,Pothole,Acknowledged
9,49,Normal Heights,49.0,931.0,931.0,0.0,,32.760567334588934-117.12341030555729,0.0,32.7605673346,-117.12341030600001,In process,1.0,0.0,2017-05-22T01:46:00,Pothole,Pothole,Acknowledged
10,60,College West,60.0,1127.0,1127.0,0.0,,32.76224800415864-117.0821829791492,0.0,32.7622480042,-117.082182979,In process,1.0,0.0,2017-05-21T08:48:00,Pothole,Pothole,Acknowledged
11,64,Normal Heights,64.0,1216.0,1216.0,0.0,,32.763295-117.1218111666667,0.0,32.763295,-117.121811167,In process,1.0,0.0,2017-05-20T21:02:00,Pothole,Pothole,Acknowledged
12,73,College West,73.0,1309.0,1309.0,0.0,,32.762878083404-117.0821969907826,0.0,32.762878083400004,-117.082196991,In process,1.0,1.0,2017-05-20T12:39:00,Pothole,Pothole,Acknowledged
13,84,Teralta East,84.0,1576.0,1576.0,0.0,,32.751395-117.096613,0.0,32.751395,-117.09661299999999,In process,1.0,1.0,2017-05-19T18:00:00,Pothole,Pothole,Acknowledged
